Índice	Comprimento da linked list
0	39
1	48
2	55
3	29
4	52
5	55
6	48
7	41
8	47
9	49
10	35
11	46
12	49
13	43
14	48
15	60
16	46
17	40
18	58
19	48
20	47
21	45
22	47
23	51
24	48
25	52
26	59
27	45
28	52
29	60
30	51
31	59
32	45
33	49
34	64
35	65
36	50
37	45
38	57
39	55
40	44
41	47
42	58
43	48
44	38
45	40
46	45
47	39
48	53
49	38
50	47
51	53
52	38
53	52
54	44
55	55
56	55
57	51
58	43
59	48
60	49
61	40
62	43
63	41
64	54
65	56
66	48
67	47
68	48
69	52
70	56
71	53
72	47
73	57
74	69
75	53
76	53
77	44
78	62
79	53
80	46
81	52
82	53
83	50
84	55
85	47
86	40
87	52
88	49
89	43
90	59
91	41
92	49
93	46
94	33
95	48
96	48
97	51
98	49
99	51
100	52
101	57
102	50
103	59
104	37
105	49
106	43
107	72
108	52
109	52
110	47
111	53
112	47
113	45
114	61
115	49
116	57
117	53
118	48
119	46
120	51
121	66
122	44
123	58
124	50
125	50
126	51
127	56
128	64
129	51
130	64
131	56
132	52
133	49
134	49
135	46
136	50
137	44
138	45
139	50
140	41
141	37
142	55
143	50
144	54
145	43
146	44
147	56
148	45
149	50
150	51
151	48
152	52
153	59
154	44
155	46
156	50
157	50
158	48
159	43
160	50
161	49
162	46
163	50
164	59
165	47
166	57
167	39
168	46
169	37
170	55
171	49
172	50
173	57
174	63
175	39
176	60
177	48
178	57
179	52
180	54
181	51
182	55
183	45
184	45
185	42
186	68
187	51
188	47
189	44
190	47
191	51
192	50
193	40
194	45
195	61
196	54
197	41
198	44
199	41
200	51
201	46
202	52
203	52
204	43
205	49
206	43
207	60
208	48
209	32
210	46
211	38
212	43
213	50
214	45
215	46
216	46
217	55
218	61
219	52
220	51
221	46
222	30
223	51
224	53
225	46
226	44
227	48
228	48
229	45
230	59
231	42
232	48
233	37
234	58
235	48
236	46
237	44
238	50
239	46
240	46
241	42
242	51
243	44
244	36
245	53
246	54
247	53
248	44
249	42
250	35
251	45
252	40
253	46
254	47
255	65
256	48
257	52
258	56
259	38
260	45
261	50
262	51
263	55
264	46
265	59
266	54
267	44
268	40
269	52
270	56
271	56
272	45
273	51
274	52
275	44
276	46
277	57
278	45
279	52
280	51
281	63
282	69
283	51
284	44
285	54
286	49
287	46
288	40
289	49
290	47
291	53
292	48
293	53
294	47
295	41
296	40
297	50
298	57
299	37
300	48
301	41
302	51
303	36
304	52
305	49
306	44
307	52
308	58
309	45
310	49
311	37
312	44
313	47
314	39
315	48
316	52
317	48
318	51
319	49
320	37
321	45
322	55
323	42
324	45
325	49
326	34
327	37
328	44
329	50
330	48
331	46
332	44
333	53
334	48
335	51
336	44
337	37
338	44
339	64
340	43
341	60
342	38
343	42
344	43
345	42
346	41
347	38
348	44
349	48
350	50
351	54
352	43
353	42
354	53
355	49
356	55
357	51
358	45
359	47
360	42
361	53
362	55
363	40
364	59
365	48
366	56
367	48
368	45
369	57
370	33
371	50
372	41
373	46
374	52
375	42
376	55
377	42
378	47
379	45
380	53
381	54
382	57
383	37
384	46
385	38
386	42
387	48
388	37
389	57
390	42
391	33
392	47
393	40
394	51
395	51
396	45
397	47
398	49
399	45
400	54
401	50
402	36
403	49
404	50
405	48
406	52
407	59
408	58
409	36
410	54
411	44
412	50
413	54
414	59
415	40
416	45
417	55
418	36
419	49
420	36
421	52
422	51
423	47
424	46
425	42
426	50
427	67
428	49
429	50
430	46
431	55
432	56
433	33
434	40
435	54
436	47
437	62
438	50
439	47
440	53
441	43
442	47
443	50
444	41
445	58
446	46
447	36
448	49
449	47
450	43
451	41
452	51
453	48
454	49
455	53
456	48
457	57
458	41
459	53
460	44
461	42
462	47
463	53
464	52
465	46
466	51
467	44
468	54
469	45
470	49
471	54
472	48
473	52
474	53
475	62
476	53
477	53
478	50
479	49
480	51
481	49
482	42
483	45
484	50
485	45
486	58
487	57
488	52
489	52
490	52
491	48
492	51
493	38
494	58
495	54
496	46
497	38
498	50
499	42
